,guid,title,pubDate,description,likes
0,https://www.nytimes.com/2022/07/20/us/georgia-abortion-ban.html,Georgia’s 6-Week Abortion Ban Begins Immediately After Court Ruling,"Thu, 21 Jul 2022 00:36:22 +0000","A federal appeals court said the law, which was signed in 2019 but quickly halted for violating Roe v. Wade, could go into effect.",354
1,https://www.nytimes.com/2022/07/20/us/giuliani-testify-georgia-investigation.html,Giuliani Ordered to Testify in Georgia Criminal Investigation,"Wed, 20 Jul 2022 20:44:25 +0000","After Rudolph W. Giuliani failed to show for a hearing in Manhattan, a Georgia judge ordered him to testify as part of an investigation into election interference in the state.",307
2,https://www.nytimes.com/2022/07/20/us/uvalde-police-chief-pete-arredondo.html,Uvalde Superintendent Recommends Firing School Police Chief,"Wed, 20 Jul 2022 19:38:23 +0000",Chief Pete Arredondo has been criticized for a delay of more than an hour in entering the classroom where a gunman had fatally wounded 19 students and two teachers.,558
3,https://www.nytimes.com/2022/07/20/us/census-citizenship-question-oversight.html,New Findings Detail Trump Plan to Use Census for Partisan Gain,"Wed, 20 Jul 2022 19:29:38 +0000",A new trove of memos and emails suggests that the plan to add a citizenship question to the 2020 census aimed to cause an undercount that would favor Republicans.,787
4,https://www.nytimes.com/2022/07/10/us/highland-park-shooting-parents.html,"After Another Mass Shooting, Questions Loom About the Role of Parents","Mon, 11 Jul 2022 00:58:57 +0000","Mothers and fathers of young men accused in shootings, including the 21-year-old charged in the massacre in Highland Park, Ill., have faced scrutiny.",471
5,https://www.nytimes.com/2022/07/10/us/uvalde-injured-teacher-reyes.html,Uvalde Teacher Recounts Harrowing Assault Inside Classroom,"Tue, 12 Jul 2022 12:38:20 +0000",A teacher who survived the mass shooting recounts the harrowing attack and desperate wait for a rescue.,851
6,https://www.nytimes.com/2022/07/09/us/abortion-protests-biden-white-house.html,Protesters at White House Call on Biden to Protect Abortion Rights,"Sat, 09 Jul 2022 21:58:45 +0000","The rally on Saturday, in which some demonstrators risked arrest, reflected activists’ growing frustration with the administration.",958
7,https://www.nytimes.com/2022/07/09/us/sexual-abuse-jrotc.html,Sexual Abuse of Teens in the Military’s J.R.O.T.C. Program,"Sat, 09 Jul 2022 19:44:39 +0000","Former students say military veterans who led J.R.O.T.C. classes in U.S. high schools fashioned themselves as mentors, then used their power to manipulate and abuse.",209
8,https://www.nytimes.com/2022/07/21/us/migrant-death-indictment-san-antonio.html,2 Are Indicted in Human Smuggling Case That Left 53 Dead in Texas,"Thu, 21 Jul 2022 15:57:30 +0000",Two men from Texas could face the death penalty after a tractor-trailer carrying dead migrants was found on the outskirts of San Antonio last month.,436
9,https://www.nytimes.com/2022/07/21/us/kentucky-bunker-civil-war.html,He Built a Home to Survive a Civil War. Tragedy Found Him Anyway.,"Thu, 21 Jul 2022 16:07:39 +0000","C. Wesley Morgan once believed that the place he built, which included a 2,000-square-foot bunker, was the safest house in Kentucky.",857
